carId;model;version;price;fuel;year;kms;power;doors;change;color
1824;QASHQAI;NISSAN QASHQAI 2.0 dCi TEKNA SPORT 17 4x2 5p.;10900;Diesel;2010;146780;150;5;Manual;Marron
1825;Grand C4 Picasso;CITROEN Grand C4 Picasso BlueHDi 88KW 120CV Feel 5p.;13300;Diesel;2017;128690;120;5;Manual;Blanco
1826;Insignia;OPEL Insignia 1.6 CDTI Start  Stop 120 CV Business 5p.;8900;Diesel;2016;66000;120;5;Manual;Gris / Plata
1827;A7;AUDI A7 Sportback 3.0 TDI 204cv quattro S tronic 5p.;17800;Diesel;2013;293000;204;5;Automatico;Gris / Plata
1828;EcoSport;FORD EcoSport 1.5 TDCi 95cv Trend 5p.;12490;Diesel;2015;67750;95;5;Manual;Blanco
1829;Focus;FORD Focus 1.0 Ecoboost AutoSt.St. 92kW Trend 5p.;11000;Gasolina;2017;44895;125;5;Manual;Gris / Plata
1830;C3;CITROEN C3 1.4 HDi Satisfaction 5p.;3950;Diesel;2004;49102;70;5;Manual;Azul (*ALI*)
1831;508;PEUGEOT 508 RXH 2.0 BlueHDi 180 Autom. 5p.;18500;Diesel;2016;41601;180;5;Automatico;Negro
1832;Aveo;CHEVROLET Aveo 1.4 16v LS 5p.;3899;Gasolina;2012;70000;101;5;Manual;Gris / Plata
1833;Partner;PEUGEOT Partner TEPEE Style 1.6 BlueHDi 100 5p.;14990;Diesel;2016;45170;100;5;Manual;Gris / Plata
1834;X6;BMW X6 xDrive35d 5p.;19900;Diesel;2009;199500;286;5;Manual;Negro
1835;Clase E;MERCEDES-BENZ Clase E E 200 CDI ELEGANCE 4p.;5990;Diesel;2007;300000;136;4;Manual;Negro
1836;X1;BMW X1 sDrive18d 5p.;18990;Diesel;2016;137658;150;5;Manual;Negro
1837;Journey;DODGE Journey 2.0 CRD SE 5 plazas 5p.;8990;Diesel;2011;120000;140;5;Manual;Negro
1838;MINI;MINI MINI COOPER SD 5 PUERTAS 5p.;17900;Diesel;2015;79000;170;5;Manual;Negro
1839;XC60;VOLVO XC60 2.0 D4 AWD Momentum Auto 5p.;32500;Diesel;2018;76654;190;5;Manual;Gris / Plata (Gris)
1840;Clase GLE Coupe;MERCEDES-BENZ Clase GLE Coupe GLE 350 d 4MATIC 5p.;67999;Diesel;2019;16000;258;5;Automatico;Gris / Plata
1841;Macan;PORSCHE Macan Turbo 5p.;75900;Gasolina;2018;44165;400;5;Automatico;Negro
1842;Ibiza;SEAT Ibiza 1.0 MPI 59kW 80CV Style Plus 5p.;12990;Gasolina;2019;8000;80;5;Manual;Blanco
1843;Clase GLK;MERCEDES-BENZ Clase GLK GLK 350 CDI 4M 5p.;17000;Diesel;2010;110000;231;5;Automatico;Negro
1844;Signum;OPEL Signum Elegance 1.9 CDTi 16v 5p.;3900;Diesel;2006;230000;150;5;Manual;Granate
1845;Mazda3;MAZDA Mazda3 2.3 DISI MPS 5p.;9900;Gasolina;2007;91000;260;5;Manual;Rojo
1846;Transit Courier;FORD Transit Courier Kombi 1.5 TDCi 56kW Trend;12900;Diesel;2020;30;75;4;Manual;Blanco
1847;Clase B;MERCEDES-BENZ Clase B B 180 CDI BlueEFFICIENCY 5p.;10999;Diesel;2012;152000;109;5;Manual;Negro
1848;Tivoli;SSANGYONG Tivoli D16T Premium 4x2 5p.;13400;Diesel;2018;39409;115;5;Manual;Gris / Plata (*COR*)
1849;Serie 1;BMW Serie 1 116d 5p.;17250;Diesel;2018;55437;116;5;Manual;668 Schwarz (sA3lido)
1850;Leon;SEAT Leon 2.0 TSI 265cv Cupra R 5p.;14000;Gasolina;2011;143000;265;5;Manual;Naranja
1851;Focus;FORD Focus 1.8 TDCi Trend 100CV 5p.;2800;Diesel;2003;120000;100;5;Manual;Gris / Plata
1852;Clase GLE;MERCEDES-BENZ Clase GLE MercedesAMG GLE 43 4MATIC 5p.;54990;Gasolina;2016;115000;367;5;Automatico;Blanco
1853;Leon;SEAT Leon ST 1.4 TSI 110kW ACT StSp FR Plus 5p.;16900;Gasolina;2017;41060;150;5;Manual;Gris / Plata (Gris Tecnico)
1854;Civic;HONDA Civic 2.0 IVTEC TURBO TYPE R GT 5p.;27550;Gasolina;2018;34579;320;5;Manual;Gris / Plata
1855;C4;CITROEN C4 1.6 eHDi 115cv Collection 5p.;7290;Diesel;2013;144000;114;5;Manual;Granate
1856;500;FIAT 500 Lounge 1.2 8v 51KW 69 CV 3p.;11500;Gasolina;2019;28116;69;3;Manual;Gris / Plata
1857;C3 Aircross;CITROEN C3 Aircross PureTech 81kW 110CV SS FEEL 5p.;15979;Gasolina;2020;2;110;5;Manual;Rojo
1858;A1;AUDI A1 1.4 TFSI 185cv S tronic Ambition 3p.;16990;Gasolina;2011;135000;185;3;Automatico;Blanco
1859;S-MAX;FORD SMAX 2.0 TDCi 140cv DPF Titanium 5p.;6500;Diesel;2010;167000;140;5;Manual;Azul
1860;Corsa;OPEL Corsa 1.4 Selective 66kW 90CV 5p.;10500;Gasolina;2018;40787;90;5;Manual;Gris / Plata
1861;Fiesta;FORD Fiesta 1.4 TDCi Trend 5p.;2800;Diesel;2005;135000;68;5;Manual;Gris / Plata
1862;Octavia;SKODA Octavia 1.6 TDI 85KW 115CV Ambition 5p.;14490;Diesel;2018;69000;115;5;Manual;Blanco
1863;Clase G;MERCEDES-BENZ Clase G MercedesAMG G 63 5p.;96900;Gasolina;2016;40800;571;5;Automatico;Gris / Plata
1864;Corsa;OPEL Corsa 1.4 Expression 90 CV 5p.;5500;Gasolina;2016;45500;90;5;Manual;Gris / Plata
1865;Serie 8;BMW Serie 8 850CI AUT. 2p.;22000;Gasolina;1992;140000;300;2;Automatico;Rojo
